Layer,Beam Center X (m),Beam Center Y (m),Tracking Error (mrad),Tracking Error Elevation Only (mrad),Tracking Error Azimuth Only (mrad)
0,-0.2389937106918239,-0.12605042016806722,0.9217792672989051,-0.4282522654680466,-0.8208532377052182
1,-0.2893081761006289,-0.025210084033613446,0.9919198777892095,-0.08602325238392387,-0.9935794287235136
2,-0.18867924528301888,-0.1512605042016807,0.824198807877808,-0.5140038967911024,-0.6480740810971796
3,-0.2641509433962264,0.07563025210084034,0.938238916114047,0.25690465210414026,-0.9071935054726313
4,-0.20125786163522014,0.10084033613445378,0.7681875388851787,0.3426368355742276,-0.6912308001194784
5,-0.025157232704402517,0.07563025210084034,0.2709573213825222,0.25690465210414026,-0.08602325238392387
6,-0.2893081761006289,0.06302521008403361,1.0112207522257377,0.2140093460331909,-0.9935794287235136
7,-0.3647798742138365,0.06302521008403361,1.2643503826023645,0.2140093460331909,-1.2528368629941071
8,-0.2138364779874214,0.025210084033613446,0.7354639224494135,0.08602325238392387,-0.7344385775850981
9,-0.30188679245283023,0.07563025210084034,1.062795106870064,0.25690465210414026,-1.036822114062055
10,-0.13836477987421383,0.12605042016806722,0.6378758419120953,0.4282522654680466,-0.47518417932400947
11,-0.2138364779874214,0.06302521008403361,0.7612299527302109,0.2140093460331909,-0.7344385775850981
12,-0.3144654088050315,0.03781512605042017,1.0818579562083774,0.1288409875163407,-1.080000052450491
13,-0.30188679245283023,0.1638655462184874,1.1719940923590402,0.5567764433780172,-1.036822114062055
14,-0.389937106918239,-0.025210084033613446,1.3347050477004125,-0.08602325238392387,-1.3391789529724842
15,-0.2138364779874214,0.025210084033613446,0.7354639224494135,0.08602325238392387,-0.7344385775850981
16,-0.12578616352201258,-0.20168067226890757,0.8086917521179852,-0.6852736813668586,-0.4319722245675767
17,-0.2138364779874214,-0.012605042016806723,0.7316777706907472,-0.042426406012742376,-0.7344385775850981
18,-0.22641509433962265,0.0,0.7734024730843196,0.0,-0.7775603066814548
19,-0.2893081761006289,0.0,0.9882371000510605,0.0,-0.9935794287235136
20,-0.35220125786163525,-0.1512605042016807,1.308131565428734,-0.5140038967911024,-1.2096281157712436
21,-0.5031446540880503,-0.08823529411764706,1.7445720766814217,-0.29966648256789863,-1.7280048445949832
22,-0.2389937106918239,-0.05042016806722689,0.8341020614888964,-0.171464282175928,-0.8208532377052182
23,-0.25157232704402516,-0.2142857142857143,1.1261478174262989,-0.7280110050802422,-0.8640602099949568
24,-0.4276729559748428,0.025210084033613446,1.4634002913089939,0.08602325238392387,-1.4688091733934974
25,-0.5283018867924528,0.012605042016806723,1.8051259552884362,0.042426406012742376,-1.814442311886654
26,-0.4276729559748428,0.08823529411764706,1.4913724149528775,0.29966648256789863,-1.4688091733934974
27,-0.3144654088050315,0.03781512605042017,1.0818579562083774,0.1288409875163407,-1.080000052450491
28,-0.5408805031446541,0.03781512605042017,1.8520603094486325,0.1288409875163407,-1.857633169467702
29,-0.4779874213836478,-0.12605042016806722,1.6878961133775108,-0.4282522654680466,-1.6416457002973623
30,-0.44025157232704404,0.08823529411764706,1.5334855785124484,0.29966648256789863,-1.5120186624305827
31,-0.4779874213836478,0.06302521008403361,1.646762256545015,0.2140093460331909,-1.6416457002973623
32,-0.37735849056603776,-0.17647058823529413,1.4215081656627337,-0.5994998004561326,-1.2959939178325144
33,-0.6037735849056605,-0.05042016806722689,2.069490417826136,-0.171464282175928,-2.0736445068772893
34,-0.5031446540880503,0.012605042016806723,1.7192175620576242,0.042426406012742376,-1.7280048445949832
35,-0.4528301886792453,0.025210084033613446,1.549194475157792,0.08602325238392387,-1.5552493329430592
36,-0.49056603773584906,0.025210084033613446,1.6779125038471319,0.08602325238392387,-1.6848147291066484
37,-0.37735849056603776,-0.10084033613445378,1.3336859074702943,-0.3426368355742276,-1.2959939178325144
38,-0.628930817610063,0.025210084033613446,2.150065665522811,0.08602325238392387,-2.160046715711581
39,-0.5157232704402516,-0.1512605042016807,1.8349892623788377,-0.5140038967911024,-1.771214504280028
40,-0.6037735849056605,0.06302521008403361,2.0735289228207923,0.2140093460331909,-2.0736445068772893
41,-0.5911949685534591,-0.1512605042016807,2.0837393989218453,-0.5140038967911024,-2.030419024823435
42,-0.49056603773584906,0.0,1.675709330482666,0.0,-1.6848147291066484
43,-0.5157232704402516,-0.20168067226890757,1.890111029790036,-0.6852736813668586,-1.771214504280028
44,-0.6037735849056605,-0.28991596638655465,2.2854576339171406,-0.9850888682672913,-2.0736445068772893
45,-0.5911949685534591,-0.18907563025210083,2.119072661265253,-0.6423394851092155,-2.030419024823435
46,-0.46540880503144655,-0.05042016806722689,1.5989446046898217,-0.171464282175928,-1.5984369064862876
47,-0.679245283018868,-0.12605042016806722,2.3593601220082903,-0.4282522654680466,-2.332852860365047
